query_type,mean,std,n_runs,metric
Direct,0.033738518754641164,0.02497720020379037,9,execution_s
Direct,0.23796889550156067,0.03338754137901902,9,grounding_s
Direct,1.9037511640124853,0.26710033103215214,9,planning_s
Direct,2.4134274737702475,0.35703961139892015,9,total_latency_s
Direct,0.23796889550156067,0.03338754137901902,9,validation_s
Reasoning,0.17427334851688803,0.13259428736022666,9,execution_s
Reasoning,0.42051439781983696,0.04970322488244627,9,grounding_s
Reasoning,3.3641151825586957,0.3976257990595702,9,planning_s
Reasoning,4.379417326715258,0.6036869820267374,9,total_latency_s
Reasoning,0.42051439781983696,0.04970322488244627,9,validation_s
Predictive,12.474201973941591,14.049403605212872,9,execution_s
Predictive,0.31324400951464976,0.04215049053308877,9,grounding_s
Predictive,2.505952076117198,0.3372039242647102,9,planning_s
Predictive,15.606642069088089,13.986746701926501,9,total_latency_s
Predictive,0.31324400951464976,0.04215049053308877,9,validation_s
Out-of-Scope,0.0,0.0,9,execution_s
Out-of-Scope,0.22337440003951395,0.0111273978811957,9,grounding_s
Out-of-Scope,1.7869952003161116,0.0890191830495656,9,planning_s
Out-of-Scope,2.233744000395139,0.11127397881195694,9,total_latency_s
Out-of-Scope,0.22337440003951395,0.0111273978811957,9,validation_s
