baseline,query_type,mean,std,n,uses_estimate,stage
FLASH_FUSION,Out-of-Scope,0.22574591288963955,0.012276392635466966,9,False,Grounding
FLASH_FUSION,Out-of-Scope,0.22574591288963955,0.012276392635466966,9,False,Validation
FLASH_FUSION,Out-of-Scope,1.8054463825292058,0.09807809624054377,9,False,Planning
FLASH_FUSION,Out-of-Scope,7.4417226844341e-05,3.0925796097354034e-05,9,False,Execution
FLASH_FUSION_CACHE,Out-of-Scope,0.4968456835997497,0.515915162874014,9,False,Grounding
FLASH_FUSION_CACHE,Out-of-Scope,0.3341631430789587,0.17553763666688488,9,False,Validation
FLASH_FUSION_CACHE,Out-of-Scope,0.9006643247344187,0.3366895386128434,9,False,Planning
FLASH_FUSION_CACHE,Out-of-Scope,0.25323440284246446,0.17114426254979276,9,False,Execution
FLASH_FUSION_CACHE_HIT,Out-of-Scope,0.34005728093060583,0.21187749316788557,9,False,Grounding
FLASH_FUSION_CACHE_HIT,Out-of-Scope,0.34005728093060583,0.21187749316788557,9,False,Validation
FLASH_FUSION_CACHE_HIT,Out-of-Scope,0.0,0.0,9,False,Planning
FLASH_FUSION_CACHE_HIT,Out-of-Scope,0.34005728093060583,0.21187749316788557,9,False,Execution
FLASH_FUSION_CACHE_MISS,Out-of-Scope,0.6121924208314357,0.7237357428135658,9,False,Grounding
FLASH_FUSION_CACHE_MISS,Out-of-Scope,0.3085183451926258,0.1311657530532806,9,False,Validation
FLASH_FUSION_CACHE_MISS,Out-of-Scope,1.75315783700678,0.2211698190271586,9,False,Planning
FLASH_FUSION_CACHE_MISS,Out-of-Scope,0.10214127493346088,0.12408526265918371,9,False,Execution
AUTOIOT_PAPER,Out-of-Scope,12.103246911270416,16.350719689244688,9,True,Grounding
AUTOIOT_PAPER,Out-of-Scope,41.87516831318957,14.353628846714988,9,True,Validation
AUTOIOT_PAPER,Out-of-Scope,16.24038362586135,3.0609391578469247,9,True,Planning
AUTOIOT_PAPER,Out-of-Scope,180.54606417476535,94.3788795603631,9,True,Execution
REACT_ONLY,Out-of-Scope,0.0,0.0,9,False,Grounding
REACT_ONLY,Out-of-Scope,0.4260200396180153,0.3536540655246953,9,False,Validation
REACT_ONLY,Out-of-Scope,0.0,0.0,9,False,Planning
REACT_ONLY,Out-of-Scope,3.834180356562138,3.182886589722258,9,False,Execution
