dataset,baseline,query_type,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,n_queries,accuracy_percent,dataset_label
bus,AUTOIOT_ONLY,Direct,1.0,2.084236443042755,0.00015190666666664167,238.5,14.166666666666666,4,100.0,Bus Telemetry
bus,AUTOIOT_ONLY,Out-of-Scope,0.16666666666666666,4.210755228996277,0.00037037749999998333,375.5833333333333,188.33333333333334,4,16.666666666666664,Bus Telemetry
bus,AUTOIOT_ONLY,Reasoning,0.6666666666666666,4.843810657660167,0.00021200416666664165,307.6666666666667,38.583333333333336,4,66.66666666666666,Bus Telemetry
bus,FLASH_FUSION,Direct,1.0,3.8468390504519143,0.0004275849999999833,573.75,112.75,4,100.0,Bus Telemetry
bus,FLASH_FUSION,Out-of-Scope,1.0,2.724888344605764,0.0004860208333333166,366.1666666666667,341.75,4,100.0,Bus Telemetry
bus,FLASH_FUSION,Reasoning,0.75,5.297801196575165,0.0008671491666666166,1049.75,313.6666666666667,4,75.0,Bus Telemetry
mit_ecg,AUTOIOT_ONLY,Direct,1.0,8.945613205432892,0.00010970916666663334,152.25,25.166666666666668,4,100.0,MIT-ECG
mit_ecg,AUTOIOT_ONLY,Out-of-Scope,0.4166666666666667,14.331655780474344,0.000246255833333325,241.08333333333334,131.66666666666666,4,41.66666666666667,MIT-ECG
mit_ecg,AUTOIOT_ONLY,Reasoning,0.4166666666666667,8.853143552939096,0.00013200249999995,161.91666666666666,46.166666666666664,4,41.66666666666667,MIT-ECG
mit_ecg,FLASH_FUSION,Direct,1.0,17.766571362813313,0.000448569999999975,566.9166666666666,144.41666666666666,4,100.0,MIT-ECG
mit_ecg,FLASH_FUSION,Out-of-Scope,0.9166666666666666,10.766538898150126,0.0004830633333333083,397.0833333333333,314.9166666666667,4,91.66666666666666,MIT-ECG
mit_ecg,FLASH_FUSION,Reasoning,0.4166666666666667,17.529681821664173,0.0006689758333333083,759.5,279.5833333333333,4,41.66666666666667,MIT-ECG
wisdm,AUTOIOT_ONLY,Direct,1.0,2.563853065172831,9.181499999999999e-05,127.5,21.0,4,100.0,WISDM (IMU)
wisdm,AUTOIOT_ONLY,Out-of-Scope,0.3333333333333333,5.748230616251628,0.00038128916666664163,197.91666666666666,334.8333333333333,4,33.33333333333333,WISDM (IMU)
wisdm,AUTOIOT_ONLY,Reasoning,0.8333333333333334,3.194915533065796,0.00016450166666665835,151.16666666666666,95.33333333333333,4,83.33333333333334,WISDM (IMU)
wisdm,FLASH_FUSION,Direct,1.0,5.437292575836182,0.000495435833333325,622.5833333333334,162.16666666666666,4,100.0,WISDM (IMU)
wisdm,FLASH_FUSION,Out-of-Scope,1.0,3.5808274348576865,0.0005273274999999833,407.1666666666667,363.4166666666667,4,100.0,WISDM (IMU)
wisdm,FLASH_FUSION,Reasoning,0.9166666666666666,6.032833973566691,0.0007315733333333082,855.6666666666666,287.0,4,91.66666666666666,WISDM (IMU)
