run_id,baseline,gt_score,latency_s,cost_usd,input_tokens,output_tokens
1,FLASH_FUSION,0.75,27.591219261288643,0.001250028125,5033.25,352.0
1,REACT_ONLY,0.4375,20.977441430091858,0.00047625562499999997,514.8125,218.375
2,FLASH_FUSION,0.9375,24.370949164032936,0.00117252125,4918.375,292.1875
2,REACT_ONLY,0.625,58.44462272524834,0.0005243106249999999,598.4375,216.75
3,FLASH_FUSION,0.8125,38.56006343662739,0.00157120625,5255.25,638.5625
3,REACT_ONLY,0.5625,24.322537317872047,0.0004912287500000001,569.0625,196.8125
