baseline,query_type,accuracy_raw,accuracy_raw_std,latency_s,latency_s_std,input_tokens,input_tokens_std,output_tokens,output_tokens_std,cost_usd,cost_usd_std,dataset_count,accuracy_percent,accuracy_percent_std
FLASH_FUSION,Direct,0.6666666666666666,0.5773502691896258,13.658552375104692,14.158155909012054,547.7222222222223,73.06586323564771,139.47222222222223,26.649777637874358,0.00043333916666664997,4.694163686460465e-05,3,66.66666666666666,57.73502691896258
FLASH_FUSION,Reasoning,0.5555555555555555,0.5091750772173156,13.432795670297411,12.59514343361094,823.6944444444443,243.57695186836025,283.88888888888886,31.225138258449046,0.0007102519444444223,0.00016655046643697575,3,55.55555555555555,50.91750772173156
FLASH_FUSION,Out-of-Scope,1.0,0.0,7.962478869491154,8.153806253799955,370.9166666666667,23.042683823239354,334.25,21.738502708328372,0.0004828983333333083,2.9022965344028223e-05,3,100.0,0.0
AUTOIOT_PAPER,Direct,0.7222222222222222,0.20971762320196521,74.90690997574065,36.03460953904103,16540.055555555555,6201.820866875695,5364.805555555556,263.36859380667175,0.013996829166666632,0.003762641716326749,3,72.22222222222221,20.97176232019652
AUTOIOT_PAPER,Reasoning,0.2222222222222222,0.17347216662217774,100.84538330634435,34.72662985393989,21006.94444444444,5765.909921646111,8090.86111111111,673.8142740591993,0.018785877499999954,0.0037592890086693338,3,22.22222222222222,17.347216662217775
AUTOIOT_PAPER,Out-of-Scope,0.1111111111111111,0.1272937693043289,239.87343397405414,194.81684505799893,23874.416666666668,10159.908519861014,10729.47222222222,2574.7201794204384,0.02256218888888885,0.007956791582204418,3,11.11111111111111,12.72937693043289
HARGPT_PAPER,Direct,0.0,0.0,0.9150933755768671,0.7147863153711458,41.666666666666664,47.73516348912333,128.2777777777778,113.04378863143322,0.00012592277777777775,0.00010906910798616695,3,0.0,0.0
HARGPT_PAPER,Reasoning,0.0,0.0,1.229592541853587,1.059952825678312,46.833333333333336,53.40958091329058,230.25,207.70125781997567,0.00020952916666666386,0.0001932320786375363,3,0.0,0.0
HARGPT_PAPER,Out-of-Scope,0.6666666666666666,0.3004626062886657,1.26182179318534,1.0737542905339517,42.583333333333336,48.096474229753404,241.8611111111111,213.3294975783636,0.00021619444444444168,0.00019383728612573815,3,66.66666666666666,30.046260628866573
LLMSENSE_PAPER,Direct,0.0,0.0,203.9851375950707,308.6308365813805,52616.88888888888,79384.38489704057,24532.972222222223,37875.64436418627,0.05042501249999998,0.07675732025212416,3,0.0,0.0
LLMSENSE_PAPER,Reasoning,0.0,0.0,205.43337887525558,311.4764277974546,52646.916666666664,79438.91864840419,24572.25,37923.135370645155,0.05047375833333332,0.0768270998122655,3,0.0,0.0
LLMSENSE_PAPER,Out-of-Scope,1.0,0.0,206.8459718094932,310.74855290918913,52634.11111111112,79432.87709891067,24547.333333333332,37926.82187239365,0.050446518888888875,0.07682631236300726,3,100.0,0.0
