baseline,query_type,runs_n,accuracy_raw,accuracy_raw_std,latency_s,latency_s_std,input_tokens,input_tokens_std,output_tokens,output_tokens_std,cost_usd,cost_usd_std,accuracy_percent,accuracy_percent_std
FLASH_FUSION,Direct,3,1.0,0.0,5.506880084673564,0.09085125861122757,566.8333333333334,27.640926781374976,109.16666666666667,9.818137976894258,0.00042067333333328333,2.4062112377808594e-05,100.0,0.0
FLASH_FUSION,Reasoning,3,0.6666666666666666,0.14433756729740643,6.496178229649861,0.20794251179027298,1050.75,35.24822690576081,301.8333333333333,20.282895092499327,0.0008583908333333083,3.659497167756155e-05,66.66666666666666,14.433756729740644
FLASH_FUSION,Out-of-Scope,3,1.0,0.0,3.080005625883738,0.3023392234063505,371.1666666666667,16.42089624025842,350.25,17.271725449415875,0.0004956858333333083,2.328878382574255e-05,100.0,0.0
AUTOIOT_PAPER,Direct,3,0.75,0.25,57.34145486354828,8.368732797126167,11498.5,552.2337027925768,5072.916666666667,409.6233279896707,0.010791719166666642,0.0006422899953356612,75.0,25.0
AUTOIOT_PAPER,Reasoning,3,0.16666666666666666,0.2886751345948129,80.25813168287277,5.656626715289389,17559.333333333332,1422.9914865638987,8355.416666666666,861.4118256289112,0.016960785833333266,0.0014281424314304702,16.666666666666664,28.86751345948129
AUTOIOT_PAPER,Out-of-Scope,3,0.25,0.25,150.96995705366135,35.62768675098633,19643.916666666668,1859.3423624586558,10547.166666666666,778.5087641339261,0.019922172499999943,0.0016935807777143889,25.0,25.0
HARGPT_PAPER,Direct,3,0.0,0.0,1.282938301563263,0.032939823907019175,93.75,0.0,171.5,3.132491021535417,0.00019079750000000002,2.4746679070129816e-06,0.0,0.0
HARGPT_PAPER,Reasoning,3,0.0,0.0,2.1857300202051797,0.2474249847513508,105.0,0.0,403.5,31.096623610932426,0.000380715,2.4566332652636622e-05,0.0,0.0
HARGPT_PAPER,Out-of-Scope,3,0.5833333333333334,0.2886751345948129,2.1968414187431335,0.055414744889873795,94.75,0.0,403.25,20.489326489662854,0.0003744699999999917,1.618656792682328e-05,58.333333333333336,28.86751345948129
LLMSENSE_PAPER,Direct,3,0.0,0.0,2.2536875009536743,0.25038815883479215,632.6666666666666,7.7553744805349885,149.5,8.919781387455636,0.0004913783333332916,1.1414098829218019e-05,0.0,0.0
LLMSENSE_PAPER,Reasoning,3,0.0,0.0,2.1714956760406494,0.13381112193720393,650.75,6.878408246098802,154.25,6.75,0.0005057999999999833,9.389618935279706e-06,0.0,0.0
LLMSENSE_PAPER,Out-of-Scope,3,1.0,0.0,2.246580123901367,0.12753908975994668,631.5833333333334,8.607167555783555,145.41666666666666,8.747618723591776,0.0004875133333333,1.1988826134530734e-05,100.0,0.0
