query_type,mean,std,n_runs,metric
Direct,1.805829021665785,1.7788137248219174,9,agent_latency_s
Direct,2.8427006204922995,2.268020685441288,9,guardrail_latency_s
Direct,3.849917987982432,4.409823481244371,9,s1_latency_s
Direct,1.7208457655376859,0.9425834766614442,9,s2_latency_s
Direct,1.9053350223435297,1.5692490041605007,9,s3_latency_s
Direct,12.124628418021732,4.690176434891007,9,total_latency_s
Reasoning,12.812846302986145,4.045345695689281,9,agent_latency_s
Reasoning,19.503660685486263,48.66588162571903,9,guardrail_latency_s
Reasoning,4.635980149110158,2.955378979316548,9,s1_latency_s
Reasoning,3.401960399415758,2.2249108300332106,9,s2_latency_s
Reasoning,0.4427095784081353,0.5479807474204331,9,s3_latency_s
Reasoning,40.79715711540646,48.701843595269125,9,total_latency_s
Out-of-Scope,3.2245683471361795,5.59161327516412,9,agent_latency_s
Out-of-Scope,8.166469666692945,12.618614864919195,9,guardrail_latency_s
Out-of-Scope,9.583373659186893,7.86612327948895,9,s1_latency_s
Out-of-Scope,20.275294350253212,50.63090586371585,9,s2_latency_s
Out-of-Scope,0.0,0.0,9,s3_latency_s
Out-of-Scope,41.249706023269226,49.92031654718205,9,total_latency_s
Predictive,18.77692699432373,8.219932028504417,9,agent_latency_s
Predictive,2.8155372540156045,1.689436965265207,9,guardrail_latency_s
Predictive,8.667027685377333,4.704358111837306,9,s1_latency_s
Predictive,2.851063456800249,1.4850116312396013,9,s2_latency_s
Predictive,0.0,0.0,9,s3_latency_s
Predictive,33.110555390516915,9.660654180296595,9,total_latency_s
