baseline,mean,std,n,uses_estimate,stage
FLASH_FUSION,0.6697214003403982,0.3360795924446409,5,False,Grounding
FLASH_FUSION,0.6697214003403982,0.3360795924446409,5,False,Validation
FLASH_FUSION,5.357771202723185,2.6886367395571273,5,False,Planning
FLASH_FUSION,3.231238816678524,1.4326214849192078,5,False,Execution
AUTOIOT_PAPER,28.052983626496644,24.571710568387303,9,True,Grounding
AUTOIOT_PAPER,34.590513356570774,6.316084691774494,9,True,Validation
AUTOIOT_PAPER,13.714332976204005,1.244892148078621,9,True,Planning
AUTOIOT_PAPER,123.6968967768977,25.93518317312041,9,True,Execution
REACT_ONLY,0.0,0.0,7,False,Grounding
REACT_ONLY,1.8323820228910164,0.7862923267965335,7,False,Validation
REACT_ONLY,0.0,0.0,7,False,Planning
REACT_ONLY,16.491438206019147,7.076630941168801,7,False,Execution
