baseline,query_type,mean,std,n
FLASH_FUSION,Direct,21.89582421382268,9.456790519390648,9
AUTOIOT_PAPER,Direct,296.46099927690295,55.889753569769944,9
REACT_ONLY,Direct,8.600870397355822,4.737672668417412,9
FLASH_FUSION,Reasoning,38.026287251048615,25.118349702641154,9
AUTOIOT_PAPER,Reasoning,471.0053066677517,109.30681465424377,9
REACT_ONLY,Reasoning,11.585543076197306,2.356250866277397,9
FLASH_FUSION,Out-of-Scope,16.46303598748313,8.234609162797348,9
AUTOIOT_PAPER,Out-of-Scope,694.7076783577601,343.15186591079197,9
REACT_ONLY,Out-of-Scope,18.030891868803238,4.842290502101504,9
FLASH_FUSION,Predictive,66.35994955566194,42.0015376482812,9
AUTOIOT_PAPER,Predictive,715.8771288063791,227.2254466967686,9
REACT_ONLY,Predictive,30.43660644690196,14.456294134756085,9
