dataset,run_id,query_id,latency_s,effective_latency_s,cache_retry_overhead_s,planner_avg_latency_s,hit_minus_planner_avg_s,speedup_x,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,typed_exec_latency_s,planner_avg_guardrail_latency_s,planner_avg_agent_latency_s,planner_avg_typed_exec_latency_s,execution_path,plan_source
mit_ecg,1,4,21.69554376602173,21.69554376602173,0.0,3.3173322677612305,18.378211498260498,0.15290385452134364,0.0002383749997534,21.578082707999783,0.0006060840005375,0.1124784590010676,3.1817940870920816,0.0,0.134787638982137,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,3,13,19.70380401611328,19.70380401611328,0.0,4.352805932362874,15.350998083750408,0.2209119583610991,0.0132269580008141,19.474695791999693,0.0008185000006051,0.2123652909995144,3.8667800426483154,0.0,0.4852754275004069,typed_operator_cache,semantic_cache_light_grounded
bus,1,2,14.441378116607666,14.441378116607666,0.0,1.929639180501302,12.511738936106363,0.13361876996227987,0.0002399170007265,14.434075291001136,0.00074933399992,0.0003274999999121,1.9287060101826985,0.0,0.0003700256347656,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,2,3,15.10858392715454,15.10858392715454,0.0,2.9949320952097573,12.113651831944782,0.19822718724995725,0.0144982500005426,15.060350500001732,0.0025191249969793,0.0283363749986165,2.952287276585897,0.0,0.0419980684916178,typed_operator_cache,semantic_cache_light_grounded
wisdm,1,2,13.798099994659424,13.798099994659424,0.0,2.8516789277394614,10.946421066919962,0.20667185546149167,0.0002634580014273,13.615152000000307,0.0009237920003215,0.1738220409988571,2.6665333906809487,0.0,0.18463198343912757,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,3,2,13.395585060119627,13.395585060119627,0.0,3.194982926050822,10.200602134068806,0.2385101443282754,0.0079002080001373,13.357485458000156,0.0004926659985358,0.027192167000976,3.1607213020324707,0.0,0.033504327138264935,typed_operator_cache,semantic_cache_light_grounded
bus,1,4,10.774554014205933,10.774554014205933,0.0,1.9019030729929607,8.872650941212973,0.17651803225315474,0.0002926249999291,10.766887791000045,0.000565500000448,0.0023089589994924,1.9001646041870117,0.0,0.0011165142059325667,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,1,1,10.666996002197266,10.666996002197266,0.0,3.1359477043151855,7.53104829788208,0.2939860204006095,0.0002435000005789,10.626713167001071,0.0009376250000059,0.0316889170007925,3.0691933631896973,0.0,0.03419383366902663,typed_operator_cache,exact_query_cache_light_grounded
mit_ecg,3,7,11.942065000534058,11.942065000534058,0.0,4.519365469614665,7.422699530919393,0.3784408701018254,0.0002221249997091,8.149545083000703,0.0010347490006097,3.788428582998677,3.78263791402181,0.0,0.7359983126322428,typed_operator_cache,exact_query_cache_light_grounded
bus,3,1,7.433242082595825,7.433242082595825,0.0,1.6589806079864502,5.774261474609375,0.22318398749191598,0.0097333749999961,7.417271209000319,0.0004635419991245,0.0005465829999593,1.6577125390370686,0.0,0.0004255771636962667,typed_operator_cache,semantic_cache_light_grounded
mit_ecg,2,1,8.525776863098145,8.525776863098145,0.0,3.1359477043151855,5.389829158782959,0.367819584616202,0.0131577079991984,8.39888124999925,0.0036703749992739,0.1066073330002836,3.0691933631896973,0.0,0.03419383366902663,typed_operator_cache,semantic_cache_light_grounded
bus,1,15,7.414283037185669,7.414283037185669,0.0,3.434488375981649,3.97979466120402,0.46322595978010034,0.0003674999989016,5.947956500000146,0.0012639170017791,0.0307282920002762,3.413154363632202,0.0,0.020405054092407168,typed_operator_cache,exact_query_cache_light_grounded
bus,3,6,9.40624189376831,9.40624189376831,0.0,5.8954252401987715,3.510816653569539,0.6267567118494501,0.0078100410009938,7.834585915999924,0.0007152090001909,0.0073017089998757,5.8866307735443115,0.0,0.00824769337972,typed_operator_cache,semantic_cache_light_grounded
bus,3,13,6.063711881637573,6.063711881637573,0.0,3.654774824778239,2.4089370568593345,0.6027289713163657,0.0112384160001965,6.032297916999596,0.0011030000005121,0.0149450409990095,3.6386027336120605,0.0,0.014960130055745402,typed_operator_cache,semantic_cache_light_grounded
