Baseline,Direct_mean,Direct_std,Reasoning_mean,Reasoning_std,Out-of-Scope_mean,Out-of-Scope_std,All_mean,All_std
Flash-Fusion,609.3333333333334,12.25850045206725,853.9166666666666,14.00074402784841,393.8333333333333,15.902698932361547,619.0277777777777,5.994403253900302
AutoIOT,23465.333333333332,493.772109209637,27663.416666666668,1754.4286878734433,35466.0,3718.0512620860945,28864.916666666668,1827.371512811047
HARGPT,353.5,0.0,359.0,0.0,360.0,0.0,357.5,0.0
LLMSense,13224.666666666666,27.59679933132318,13201.583333333334,25.061590798138106,13203.083333333334,24.29163093193493,13209.777777777776,8.90900501573448
