algorithm,dataset,query_id,version,case_id,tier,expected_match_id,predicted_match_id,decision,predicted_query_id,correct_match,authorized_hit,false_positive_reuse,abstained,total_match_ms,error
hybrid,wisdm,1,v1,wisdm-1-v1,unspecified,1,1,exact_hit,1,True,True,False,False,0.030375000278581865,
hybrid,wisdm,1,v2,wisdm-1-v2,unspecified,1,1,hybrid_hit,1,True,True,False,False,14.06154200049059,
hybrid,wisdm,1,v3,wisdm-1-v3,unspecified,1,1,hybrid_hit,1,True,True,False,False,11.023457999726816,
hybrid,wisdm,2,v1,wisdm-2-v1,unspecified,2,2,exact_hit,2,True,True,False,False,0.012458999663067516,
hybrid,wisdm,2,v2,wisdm-2-v2,unspecified,2,2,hybrid_hit,2,True,True,False,False,10.675915999854624,
hybrid,wisdm,2,v3,wisdm-2-v3,unspecified,2,2,hybrid_hit,2,True,True,False,False,10.85750000038388,
hybrid,wisdm,3,v1,wisdm-3-v1,unspecified,3,3,exact_hit,3,True,True,False,False,0.009749999662744813,
hybrid,wisdm,3,v2,wisdm-3-v2,unspecified,3,3,hybrid_hit,3,True,True,False,False,11.550290999366553,
hybrid,wisdm,3,v3,wisdm-3-v3,unspecified,3,3,hybrid_hit,3,True,True,False,False,11.316582999825187,
hybrid,wisdm,4,v1,wisdm-4-v1,unspecified,4,4,exact_hit,4,True,True,False,False,0.01154200072051026,
hybrid,wisdm,4,v2,wisdm-4-v2,unspecified,4,4,hybrid_hit,4,True,True,False,False,11.324416999741516,
hybrid,wisdm,4,v3,wisdm-4-v3,unspecified,4,4,hybrid_hit,4,True,True,False,False,10.880333999921277,
hybrid,wisdm,5,v1,wisdm-5-v1,unspecified,5,5,exact_hit,5,True,True,False,False,0.010166999345528893,
hybrid,wisdm,5,v2,wisdm-5-v2,unspecified,5,5,exact_hit,5,True,True,False,False,0.008582999726058915,
hybrid,wisdm,5,v3,wisdm-5-v3,unspecified,5,5,hybrid_hit,5,True,True,False,False,11.422915999901306,
hybrid,wisdm,6,v1,wisdm-6-v1,unspecified,6,6,exact_hit,6,True,True,False,False,0.011624999388004653,
hybrid,wisdm,6,v2,wisdm-6-v2,unspecified,6,6,hybrid_hit,6,True,True,False,False,12.761791000230005,
hybrid,wisdm,6,v3,wisdm-6-v3,unspecified,6,6,exact_hit,6,True,True,False,False,0.010834000022441614,
hybrid,wisdm,7,v1,wisdm-7-v1,unspecified,7,7,exact_hit,7,True,True,False,False,0.010124999789695721,
hybrid,wisdm,7,v2,wisdm-7-v2,unspecified,7,7,hybrid_hit,7,True,True,False,False,11.866415999975288,
hybrid,wisdm,7,v3,wisdm-7-v3,unspecified,7,7,hybrid_hit,7,True,True,False,False,11.251749999246385,
hybrid,wisdm,8,v1,wisdm-8-v1,unspecified,8,8,exact_hit,8,True,True,False,False,0.010624999958963599,
hybrid,wisdm,8,v2,wisdm-8-v2,unspecified,8,8,hybrid_hit,8,True,True,False,False,11.231208000026527,
hybrid,wisdm,8,v3,wisdm-8-v3,unspecified,8,8,hybrid_hit,8,True,True,False,False,11.156625000694476,
hybrid,wisdm,13,v1,wisdm-13-v1,unspecified,13,13,exact_hit,13,True,True,False,False,0.011334000191709492,
hybrid,wisdm,13,v2,wisdm-13-v2,unspecified,13,13,hybrid_hit,13,True,True,False,False,17.878290999760793,
hybrid,wisdm,13,v3,wisdm-13-v3,unspecified,13,13,hybrid_hit,13,True,True,False,False,14.589749999686319,
hybrid,wisdm,14,v1,wisdm-14-v1,unspecified,14,14,exact_hit,14,True,True,False,False,0.012083000001439359,
hybrid,wisdm,14,v2,wisdm-14-v2,unspecified,14,14,hybrid_hit,14,True,True,False,False,15.973750000739528,
hybrid,wisdm,14,v3,wisdm-14-v3,unspecified,14,14,hybrid_hit,14,True,True,False,False,15.51374999962718,
hybrid,wisdm,15,v1,wisdm-15-v1,unspecified,15,15,exact_hit,15,True,True,False,False,0.01170799987448845,
hybrid,wisdm,15,v2,wisdm-15-v2,unspecified,15,15,hybrid_hit,15,True,True,False,False,14.467042000433139,
hybrid,wisdm,15,v3,wisdm-15-v3,unspecified,15,15,hybrid_hit,15,True,True,False,False,14.932582999790611,
hybrid,wisdm,16,v1,wisdm-16-v1,unspecified,16,16,exact_hit,16,True,True,False,False,0.011916000403289218,
hybrid,wisdm,16,v2,wisdm-16-v2,unspecified,16,16,hybrid_hit,16,True,True,False,False,15.099457999895094,
hybrid,wisdm,16,v3,wisdm-16-v3,unspecified,16,16,hybrid_hit,16,True,True,False,False,14.893917000335932,
