algorithm,dataset,query_id,version,case_id,tier,expected_match_id,predicted_match_id,decision,predicted_query_id,correct_match,authorized_hit,false_positive_reuse,abstained,total_match_ms,error
hybrid,mit_ecg,1,v1,mit_ecg-1-v1,unspecified,1,1,exact_hit,1,True,True,False,False,0.036500000533123966,
hybrid,mit_ecg,1,v2,mit_ecg-1-v2,unspecified,1,1,hybrid_hit,1,True,True,False,False,12.214874999699532,
hybrid,mit_ecg,1,v3,mit_ecg-1-v3,unspecified,1,1,hybrid_hit,1,True,True,False,False,6.954458000109298,
hybrid,mit_ecg,2,v1,mit_ecg-2-v1,unspecified,2,2,exact_hit,2,True,True,False,False,0.016999999388644937,
hybrid,mit_ecg,2,v2,mit_ecg-2-v2,unspecified,2,2,hybrid_hit,2,True,True,False,False,6.272582999372389,
hybrid,mit_ecg,2,v3,mit_ecg-2-v3,unspecified,2,2,hybrid_hit,2,True,True,False,False,6.164207999972859,
hybrid,mit_ecg,3,v1,mit_ecg-3-v1,unspecified,3,3,exact_hit,3,True,True,False,False,0.009459000466449652,
hybrid,mit_ecg,3,v2,mit_ecg-3-v2,unspecified,3,3,hybrid_hit,3,True,True,False,False,6.425874999877124,
hybrid,mit_ecg,3,v3,mit_ecg-3-v3,unspecified,3,3,hybrid_hit,3,True,True,False,False,6.695416999718873,
hybrid,mit_ecg,4,v1,mit_ecg-4-v1,unspecified,4,4,exact_hit,4,True,True,False,False,0.010540999937802553,
hybrid,mit_ecg,4,v2,mit_ecg-4-v2,unspecified,4,4,hybrid_hit,4,True,True,False,False,6.978625000556349,
hybrid,mit_ecg,4,v3,mit_ecg-4-v3,unspecified,4,4,hybrid_hit,4,True,True,False,False,7.079375000103028,
hybrid,mit_ecg,5,v1,mit_ecg-5-v1,unspecified,5,5,exact_hit,5,True,True,False,False,0.011250000170548446,
hybrid,mit_ecg,5,v2,mit_ecg-5-v2,unspecified,5,5,hybrid_hit,5,True,True,False,False,7.672624999941036,
hybrid,mit_ecg,5,v3,mit_ecg-5-v3,unspecified,5,5,hybrid_hit,5,True,True,False,False,7.411417000184883,
hybrid,mit_ecg,6,v1,mit_ecg-6-v1,unspecified,6,6,exact_hit,6,True,True,False,False,0.00995800019154558,
hybrid,mit_ecg,6,v2,mit_ecg-6-v2,unspecified,6,6,exact_hit,6,True,True,False,False,0.011500000255182385,
hybrid,mit_ecg,6,v3,mit_ecg-6-v3,unspecified,6,6,hybrid_hit,6,True,True,False,False,6.82508299996698,
hybrid,mit_ecg,7,v1,mit_ecg-7-v1,unspecified,7,7,exact_hit,7,True,True,False,False,0.009625000529922545,
hybrid,mit_ecg,7,v2,mit_ecg-7-v2,unspecified,7,7,exact_hit,7,True,True,False,False,0.009500000487605575,
hybrid,mit_ecg,7,v3,mit_ecg-7-v3,unspecified,7,7,hybrid_hit,7,True,True,False,False,6.573291999302455,
hybrid,mit_ecg,8,v1,mit_ecg-8-v1,unspecified,8,8,exact_hit,8,True,True,False,False,0.010916000064753462,
hybrid,mit_ecg,8,v2,mit_ecg-8-v2,unspecified,8,8,hybrid_hit,8,True,True,False,False,6.572250000317581,
hybrid,mit_ecg,8,v3,mit_ecg-8-v3,unspecified,8,8,hybrid_hit,8,True,True,False,False,6.943082999896433,
hybrid,mit_ecg,13,v1,mit_ecg-13-v1,unspecified,13,13,exact_hit,13,True,True,False,False,0.015125000572879799,
hybrid,mit_ecg,13,v2,mit_ecg-13-v2,unspecified,13,13,hybrid_hit,13,True,True,False,False,11.249916000451776,
hybrid,mit_ecg,13,v3,mit_ecg-13-v3,unspecified,13,13,hybrid_hit,13,True,True,False,False,11.163582999870414,
hybrid,mit_ecg,14,v1,mit_ecg-14-v1,unspecified,14,14,exact_hit,14,True,True,False,False,0.016041999515437055,
hybrid,mit_ecg,14,v2,mit_ecg-14-v2,unspecified,14,14,hybrid_hit,14,True,True,False,False,10.334375000638829,
hybrid,mit_ecg,14,v3,mit_ecg-14-v3,unspecified,14,14,hybrid_hit,14,True,True,False,False,9.915374999764026,
hybrid,mit_ecg,15,v1,mit_ecg-15-v1,unspecified,15,15,exact_hit,15,True,True,False,False,0.010917000508925412,
hybrid,mit_ecg,15,v2,mit_ecg-15-v2,unspecified,15,15,hybrid_hit,15,True,True,False,False,9.860166999715148,
hybrid,mit_ecg,15,v3,mit_ecg-15-v3,unspecified,15,15,hybrid_hit,15,True,True,False,False,9.836499999437365,
hybrid,mit_ecg,16,v1,mit_ecg-16-v1,unspecified,16,16,exact_hit,16,True,True,False,False,0.01170799987448845,
hybrid,mit_ecg,16,v2,mit_ecg-16-v2,unspecified,16,16,hybrid_hit,16,True,True,False,False,9.582749999935913,
hybrid,mit_ecg,16,v3,mit_ecg-16-v3,unspecified,16,16,hybrid_hit,16,True,True,False,False,9.51004099988495,
