baseline,dataset,mean,std,n_runs
FLASH_FUSION,bus,86.1111111111111,4.811252243246888,3
AUTOIOT_PAPER,bus,38.88888888888889,17.34721666221777,3
REACT_ONLY,bus,61.111111111111114,4.811252243246881,3
HARGPT_PAPER,bus,38.888888888888886,4.811252243246877,3
LLMSENSE_PAPER,bus,36.111111111111114,4.811252243246877,3
FLASH_FUSION,wisdm,100.0,0.0,3
AUTOIOT_PAPER,wisdm,41.666666666666664,8.333333333333332,3
REACT_ONLY,wisdm,61.111111111111114,4.811252243246883,3
HARGPT_PAPER,wisdm,22.222222222222225,12.729376930432888,3
LLMSENSE_PAPER,wisdm,33.333333333333336,0.0,3
FLASH_FUSION,ecg,86.11111111111113,9.622504486493765,3
AUTOIOT_PAPER,ecg,55.555555555555564,9.622504486493765,3
REACT_ONLY,ecg,66.66666666666667,0.0,3
HARGPT_PAPER,ecg,22.222222222222225,9.622504486493764,3
LLMSENSE_PAPER,ecg,33.333333333333336,0.0,3
