dataset,baseline,query_type,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,n_queries,accuracy_percent,dataset_label
bus,AUTOIOT_PAPER,Direct,0.75,57.34145486354828,0.010791719166666642,11498.5,5072.916666666667,4,75.0,Bus Telemetry
bus,AUTOIOT_PAPER,Out-of-Scope,0.25,150.96995705366135,0.019922172499999943,19643.916666666668,10547.166666666666,4,25.0,Bus Telemetry
bus,AUTOIOT_PAPER,Reasoning,0.16666666666666666,80.25813168287277,0.016960785833333266,17559.333333333332,8355.416666666666,4,16.666666666666664,Bus Telemetry
bus,FLASH_FUSION,Direct,1.0,5.506880084673564,0.00042067333333328333,566.8333333333334,109.16666666666667,4,100.0,Bus Telemetry
bus,FLASH_FUSION,Out-of-Scope,1.0,3.080005625883738,0.0004956858333333083,371.1666666666667,350.25,4,100.0,Bus Telemetry
bus,FLASH_FUSION,Reasoning,0.6666666666666666,6.496178229649861,0.0008583908333333083,1050.75,301.8333333333333,4,66.66666666666666,Bus Telemetry
bus,HARGPT_PAPER,Direct,0.0,1.282938301563263,0.0001907975,93.75,171.5,4,0.0,Bus Telemetry
bus,HARGPT_PAPER,Out-of-Scope,0.5833333333333334,2.1968414187431335,0.0003744699999999917,94.75,403.25,4,58.333333333333336,Bus Telemetry
bus,HARGPT_PAPER,Reasoning,0.0,2.1857300202051797,0.000380715,105.0,403.5,4,0.0,Bus Telemetry
bus,LLMSENSE_PAPER,Direct,0.0,2.2536875009536743,0.0004913783333332916,632.6666666666666,149.5,4,0.0,Bus Telemetry
bus,LLMSENSE_PAPER,Out-of-Scope,1.0,2.246580123901367,0.0004875133333333,631.5833333333334,145.41666666666666,4,100.0,Bus Telemetry
bus,LLMSENSE_PAPER,Reasoning,0.0,2.1714956760406494,0.0005057999999999833,650.75,154.25,4,0.0,Bus Telemetry
mit_ecg,AUTOIOT_PAPER,Direct,0.5,116.35589190324147,0.013059123333333299,14656.333333333334,5584.666666666667,4,50.0,MIT-ECG
mit_ecg,AUTOIOT_PAPER,Out-of-Scope,0.08333333333333333,463.28251920143765,0.01626095916666664,16513.333333333332,8250.75,4,8.333333333333332,MIT-ECG
mit_ecg,AUTOIOT_PAPER,Reasoning,0.4166666666666667,140.93938871224722,0.01628755333333331,17798.083333333332,7324.916666666667,4,41.66666666666667,MIT-ECG
mit_ecg,FLASH_FUSION,Direct,0.0,30.00696192185084,0.00039403,467.0,150.0,4,0.0,MIT-ECG
mit_ecg,FLASH_FUSION,Out-of-Scope,1.0,17.375490566094715,0.00044967749999998336,347.75,309.5,4,100.0,MIT-ECG
mit_ecg,FLASH_FUSION,Reasoning,0.0,27.97134115298589,0.000529974166666625,566.4166666666666,247.83333333333334,4,0.0,MIT-ECG
mit_ecg,HARGPT_PAPER,Direct,0.0,1.371043602625529,0.0001869708333333333,31.25,213.33333333333334,4,0.0,MIT-ECG
mit_ecg,HARGPT_PAPER,Out-of-Scope,0.4166666666666667,1.4994729558626811,0.0002741133333333333,33.0,322.3333333333333,4,41.66666666666667,MIT-ECG
mit_ecg,HARGPT_PAPER,Reasoning,0.0,1.4132267832756042,0.00024787249999999166,35.5,287.25,4,0.0,MIT-ECG
mit_ecg,LLMSENSE_PAPER,Direct,0.0,559.2743478417397,0.13880839166666667,143993.33333333334,68167.5,4,0.0,MIT-ECG
mit_ecg,LLMSENSE_PAPER,Out-of-Scope,1.0,564.4278249343237,0.13891110333333334,144067.66666666666,68242.0,4,100.0,MIT-ECG
mit_ecg,LLMSENSE_PAPER,Reasoning,0.0,564.0293379426003,0.1389384875,144088.41666666666,68261.16666666667,4,0.0,MIT-ECG
wisdm,AUTOIOT_PAPER,Direct,0.9166666666666666,51.02338316043218,0.018139644999999958,23465.333333333332,5436.833333333333,4,91.66666666666666,WISDM (IMU)
wisdm,AUTOIOT_PAPER,Out-of-Scope,0.0,105.3678256670634,0.03150343499999996,35466.0,13390.5,4,0.0,WISDM (IMU)
wisdm,AUTOIOT_PAPER,Reasoning,0.08333333333333333,81.33862952391307,0.023109293333333284,27663.416666666668,8592.25,4,8.333333333333332,WISDM (IMU)
wisdm,FLASH_FUSION,Direct,1.0,5.461815118789673,0.00048531416666666667,609.3333333333334,159.25,4,100.0,WISDM (IMU)
wisdm,FLASH_FUSION,Out-of-Scope,1.0,3.431940416495005,0.0005033316666666333,393.8333333333333,343.0,4,100.0,WISDM (IMU)
wisdm,FLASH_FUSION,Reasoning,1.0,5.83086762825648,0.0007423908333333333,853.9166666666666,302.0,4,100.0,WISDM (IMU)
wisdm,HARGPT_PAPER,Direct,0.0,0.09129822254180904,0.0,0.0,0.0,4,0.0,WISDM (IMU)
wisdm,HARGPT_PAPER,Out-of-Scope,1.0,0.0891510049502054,0.0,0.0,0.0,4,100.0,WISDM (IMU)
wisdm,HARGPT_PAPER,Reasoning,0.0,0.08982082207997634,0.0,0.0,0.0,4,0.0,WISDM (IMU)
wisdm,LLMSENSE_PAPER,Direct,0.0,50.42737744251887,0.011975267499999975,13224.666666666666,5281.916666666667,4,0.0,WISDM (IMU)
wisdm,LLMSENSE_PAPER,Out-of-Scope,1.0,53.86351037025452,0.011940939999999983,13203.083333333334,5254.583333333333,4,100.0,WISDM (IMU)
wisdm,LLMSENSE_PAPER,Reasoning,0.0,50.099303007125854,0.011976987499999993,13201.583333333334,5301.333333333333,4,0.0,WISDM (IMU)
