dataset,fraction,fraction_tag,sample_rows,full_rows,avg_accuracy,avg_latency_s,avg_cost_usd,execution_rate,query_count
bus,0.2,20,243,1219,0.9166666666666666,17.098308801651,0.0005768091666666666,0.6666666666666666,12
bus,0.4,40,487,1219,0.8333333333333334,33.49640403191248,0.0006549766666666667,0.75,12
bus,0.6,60,731,1219,0.8333333333333334,22.116145690282185,0.0006608733333333333,0.75,12
bus,0.8,80,975,1219,0.8333333333333334,18.884788811206818,0.0005940183333333332,0.6666666666666666,12
bus,1.0,100,1219,1219,0.75,89.2619328101476,0.0006937125,0.8333333333333334,12
mit_ecg,0.2,20,5200000,26000000,0.5833333333333334,28.62788639465968,0.0005009424999999999,0.4166666666666667,12
mit_ecg,0.4,40,10400000,26000000,0.8333333333333334,24.093957861264546,0.0005025674999999999,0.5833333333333334,12
mit_ecg,0.6,60,15600000,26000000,0.9166666666666666,28.44895150264104,0.0005524891666666667,0.6666666666666666,12
mit_ecg,0.8,80,20800000,26000000,0.8333333333333334,36.09073158105215,0.0005686683333333334,0.75,12
mit_ecg,1.0,100,26000000,26000000,0.75,40.48587057987849,0.0005585041666666667,0.6666666666666666,12
wisdm,0.2,20,219639,1098198,0.75,91.68223979075749,0.0005593425000000001,0.4166666666666667,12
wisdm,0.4,40,439279,1098198,0.9166666666666666,36.43671826521555,0.0006461083333333333,0.6666666666666666,12
wisdm,0.6,60,658918,1098198,0.9166666666666666,21.668961385885876,0.0006519816666666666,0.75,12
wisdm,0.8,80,878558,1098198,1.0,24.31365289290746,0.0005889666666666667,0.6666666666666666,12
wisdm,1.0,100,1098198,1098198,1.0,27.101983586947124,0.0006200558333333333,0.6666666666666666,12
