dataset,fraction,fraction_tag,sample_rows,full_rows,avg_accuracy,avg_latency_s,avg_cost_usd,execution_rate,query_count
bus,0.2,20,243,1219,0.9166666666666666,17.458678821722668,0.0005943675,0.6666666666666666,12
bus,0.4,40,487,1219,0.5833333333333334,22.01900017261505,0.0007057433333333333,0.8333333333333334,12
bus,0.6,60,731,1219,0.75,19.462795277436573,0.0006764483333333333,0.75,12
bus,0.8,80,975,1219,0.8333333333333334,18.026923696200054,0.0006640491666666668,0.75,12
bus,1.0,100,1219,1219,0.9166666666666666,19.298729399840038,0.0006330441666666666,0.6666666666666666,12
mit_ecg,0.2,20,5200000,26000000,0.6666666666666666,26.721382836500805,0.0004798483333333334,0.5,12
mit_ecg,0.4,40,10400000,26000000,0.6666666666666666,33.385660449663796,0.0005752891666666667,0.6666666666666666,12
mit_ecg,0.6,60,15600000,26000000,0.9166666666666666,29.11908157666524,0.00055205,0.75,12
mit_ecg,0.8,80,20800000,26000000,0.8333333333333334,29.035727739334106,0.0005510900000000001,0.75,12
mit_ecg,1.0,100,26000000,26000000,0.75,41.39329524834951,0.0005154275,0.6666666666666666,12
wisdm,0.2,20,219639,1098198,0.6666666666666666,16.4388241370519,0.0005493833333333332,0.4166666666666667,12
wisdm,0.4,40,439279,1098198,1.0,19.524328390757244,0.0006444658333333333,0.6666666666666666,12
wisdm,0.6,60,658918,1098198,0.9166666666666666,17.13172686100006,0.0006075333333333333,0.6666666666666666,12
wisdm,0.8,80,878558,1098198,1.0,19.608360747496288,0.0006659416666666666,0.6666666666666666,12
wisdm,1.0,100,1098198,1098198,1.0,24.314295788606007,0.0006139341666666667,0.6666666666666666,12
